Series Name,Series Code,Country Name,Country Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Broad money growth (annual %),FM.LBL.BMNY.ZG,Marshall Islands,MHL,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mauritania,MRT,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mauritius,MUS,16.8810646905944,8.84810654987261,5.25662705352603,7.26565641246502,12.6631359672791
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mexico,MEX,13.4400142059953,9.50768951064234,7.32427911846193,11.0177381844607,13.8172874602568
Broad money growth (annual %),FM.LBL.BMNY.ZG,"Micronesia, Fed. Sts.",FSM,15.6280743176772,15.4212926145736,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Moldova,MDA,19.6554901860289,11.2814947779343,5.27126725973233,18.3157125906104,13.7338877091306
Broad money growth (annual %),FM.LBL.BMNY.ZG,Monaco,MCO,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mongolia,MNG,17.5058478385063,13.8179148023337,6.46484823716739,26.8306918731148,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Montenegro,MNE,-3.74832970766726,15.6110722160739,22.9484874855143,11.9691106223213,9.90528108977512
Broad money growth (annual %),FM.LBL.BMNY.ZG,Morocco,MAR,8.36179141868821,5.09394192746299,8.01359504265407,3.91375528110208,8.00403772257982
Broad money growth (annual %),FM.LBL.BMNY.ZG,Mozambique,MOZ,23.2776258654505,1.87914680484284,8.7360820549451,3.54571072317434,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Myanmar,MMR,18.1773771157293,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Namibia,NAM,8.07704826577038,6.76114008751548,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nauru,NRU,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nepal,NPL,22.1139143932736,14.6916316108794,7.64288447145372,14.5599019966811,11.2243726059449
Broad money growth (annual %),FM.LBL.BMNY.ZG,Netherlands,NLD,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,New Caledonia,NCL,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,New Zealand,NZL,12.1779427157231,7.05943403469145,1.8325450583825,3.56339694999693,4.1348258816056
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nicaragua,NIC,15.6277946771385,13.8230904087894,11.3318996335419,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Niger,NER,17.0145203711137,9.72874157000328,11.9227225133545,-0.924792570898072,6.91700146097394
Broad money growth (annual %),FM.LBL.BMNY.ZG,Nigeria,NGA,11.6325456444644,14.2374143355273,17.4226051694979,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,North Macedonia,MKD,7.97042757225559,8.83069218060799,5.27630784445662,5.89462107968648,10.2036928292063
Broad money growth (annual %),FM.LBL.BMNY.ZG,Northern Mariana Islands,MNP,..,..,..,..,..
Broad money growth (annual %),FM.LBL.BMNY.ZG,Norway,NOR,12.158774076833,10.5019184861607,5.54670209272964,0.433080320796381,3.44876298069181
